Folio_num	eye_sizeC	nose_sizeC	mouth_sizeC
45	Small	Small	Small
181	Medium	Medium	Large
212	Small	Medium	Medium
213	Small	Small	Large
215	Large	Medium	Medium
261	Large	Medium	Large
283	Small	Large	Medium
299	Medium	Medium	Large
354	Medium	Small	Large
583	Large	Medium	Medium
602	Large	Medium	Medium
633	Medium	Medium	Small
692	Medium	Medium	Small
704	Medium	Medium	Large
758	Small	Small	Medium
826	Medium	Small	Medium
951	Large	Medium	Large
1104	Medium	Medium	Small
1111	Medium	Medium	Large
1113	Medium	Large	Small
1116	Large	Small	Medium
1142	Large	Medium	Large
1290	Medium	Small	Small
1299	Medium	Medium	Large
1310	Medium	Medium	Small
1318	Small	Small	Small
1319	Medium	Small	Medium
1320	Medium	Large	Small
1334	Large	Medium	Medium
1339	Large	Small	Medium
1351	Medium	Medium	Medium
1384	Medium	Large	Medium
1393	Medium	Small	Medium
1473	Medium	Medium	Small
1508	Medium	Medium	Small
1512	Medium	Small	Medium
1524	Large	Medium	Medium
1546	Small	Medium	Small
1557	Medium	Medium	Small
1623	Medium	Small	Large
1655	Medium	Medium	Small
1678	Large	Small	Large
1757	Medium	Medium	Small
1770	Large	Small	Medium
1814	Medium	Medium	Large
1833	Medium	Medium	Medium
1845	Medium	Small	Small
1893	Large	Small	Small
1918	Medium	Small	Medium
1995	Medium	Small	Small
1996	Medium	Small	Small
2004	Medium	Medium	Large
2181	Small	Medium	Medium
2188	Large	Medium	Large
2255	Large	Medium	Medium
2281	Medium	Large	Small
2554	Medium	Large	Medium
2560	Medium	Large	Large
2585	Small	Large	Medium
2865	Small	Medium	Small
