Folio_num	eye_sizeC	nose_sizeC	mouth_sizeC
45	Medium	Medium	Medium
181	Medium	Medium	Medium
212	Medium	Medium	Medium
213	Medium	Medium	Large
215	Large	Medium	Medium
261	Large	Medium	Large
283	Small	Medium	Medium
299	Medium	Medium	Large
354	Medium	Small	Medium
583	Large	Medium	Medium
602	Medium	Medium	Medium
633	Medium	Medium	Medium
692	Medium	Medium	Small
704	Medium	Medium	Large
758	Medium	Medium	Medium
826	Medium	Small	Medium
951	Medium	Medium	Large
1104	Medium	Medium	Medium
1111	Medium	Medium	Medium
1113	Medium	Medium	Medium
1116	Medium	Medium	Medium
1142	Medium	Medium	Large
1290	Medium	Medium	Medium
1299	Medium	Medium	Medium
1310	Medium	Medium	Medium
1318	Medium	Medium	Medium
1319	Medium	Medium	Medium
1320	Medium	Medium	Small
1334	Medium	Medium	Medium
1339	Medium	Medium	Medium
1351	Medium	Medium	Medium
1384	Medium	Medium	Medium
1393	Medium	Medium	Medium
1473	Medium	Medium	Small
1508	Medium	Medium	Medium
1512	Medium	Medium	Medium
1524	Large	Medium	Medium
1546	Medium	Medium	Medium
1557	Medium	Medium	Medium
1623	Medium	Small	Medium
1655	Medium	Medium	Small
1678	Large	Medium	Large
1757	Medium	Medium	Medium
1770	Large	Medium	Medium
1814	Medium	Medium	Medium
1833	Medium	Medium	Medium
1845	Medium	Medium	Medium
1893	Medium	Small	Medium
1918	Medium	Medium	Medium
1995	Medium	Medium	Medium
1996	Medium	Small	Small
2004	Medium	Medium	Medium
2181	Medium	Medium	Medium
2188	Medium	Medium	Medium
2255	Medium	Medium	Medium
2281	Medium	Large	Medium
2554	Medium	Medium	Medium
2560	Medium	Medium	Medium
2585	Medium	Medium	Medium
2865	Medium	Medium	Small
