cohort	045_Eyes	045_Nose	045_Mouth	0261_Eyes	0261_Nose	0261_Mouth	0283_Eyes	0283_Nose	0283_Mouth	0299_Eyes	0299_Nose	0299_Mouth	0354_Eyes	0354_Nose	0354_Mouth	0583_Eyes	0583_Nose	0583_Mouth	0602_Eyes	0602_Nose	0602_Mouth	0692_Eyes	0692_Nose	0692_Mouth	0758_Eyes	0758_Nose	0758_Mouth	1111_Eyes	1111_Nose	1111_Mouth	1290_Eyes	1290_Nose	1290_Mouth	1299_Eyes	1299_Nose	1299_Mouth	1318_Eyes	1318_Nose	1318_Mouth	1334_Eyes	1334_Nose	1334_Mouth	1393_Eyes	1393_Nose	1393_Mouth	1473_Eyes	1473_Nose	1473_Mouth	1508_Eyes	1508_Nose	1508_Mouth	1512_Eyes	1512_Nose	1512_Mouth	1623_Eyes	1623_Nose	1623_Mouth	1655_Eyes	1655_Nose	1655_Mouth	1678_Eyes	1678_Nose	1678_Mouth	1757_Eyes	1757_Nose	1757_Mouth	1814_Eyes	1814_Nose	1814_Mouth	1893_Eyes	1893_Nose	1893_Mouth	1995_Eyes	1995_Nose	1995_Mouth	1996_Eyes	1996_Nose	1996_Mouth	2181_Eyes	2181_Nose	2181_Mouth	2188_Eyes	2188_Nose	2188_Mouth	2255_Eyes	2255_Nose	2255_Mouth	2585_Eyes	2585_Nose	2585_Mouth	0181_Eyes	0181_Nose	0181_Mouth	0212_Eyes	0212_Nose	0212_Mouth	0213_Eyes	0213_Nose	0213_Mouth	0215_Eyes	0215_Nose	0215_Mouth	0633_Eyes	0633_Nose	0633_Mouth	0704_Eyes	0704_Nose	0704_Mouth	0826_Eyes	0826_Nose	0826_Mouth	0951_Eyes	0951_Nose	0951_Mouth	1104_Eyes	1104_Nose	1104_Mouth	1113_Eyes	1113_Nose	1113_Mouth	1116_Eyes	1116_Nose	1116_Mouth	1142_Eyes	1142_Nose	1142_Mouth	1310_Eyes	1310_Nose	1310_Mouth	1319_Eyes	1319_Nose	1319_Mouth	1320_Eyes	1320_Nose	1320_Mouth	1339_Eyes	1339_Nose	1339_Mouth	1351_Eyes	1351_Nose	1351_Mouth	1384_Eyes	1384_Nose	1384_Mouth	1524_Eyes	1524_Nose	1524_Mouth	1546_Eyes	1546_Nose	1546_Mouth	1557_Eyes	1557_Nose	1557_Mouth	1770_Eyes	1770_Nose	1770_Mouth	1833_Eyes	1833_Nose	1833_Mouth	2281_Eyes	2281_Nose	2281_Mouth	1845_Eyes	1845_Nose	1845_Mouth	1918_Eyes	1918_Nose	1918_Mouth	2004_Eyes	2004_Nose	2004_Mouth	2560_Eyes	2560_Nose	2560_Mouth	2554_Eyes	2554_Nose	2554_Mouth	2865_Eyes	2865_Nose	2865_Mouth
anthrop	Small	Large	Medium	Large	Large	Large	Medium	Large	Small	Medium	Large	Large	Small	Small	Large	Large	Medium	Medium	Small	Medium	Medium	Medium	Medium	Small	Small	Medium	Large	Small	Medium	Medium	Small	Medium	Small	Medium	Medium	Large	Medium	Medium	Medium	Large	Medium	Medium	Large	Small	Large	Small	Small	Small	Medium	Large	Small	Large	Small	Medium	Medium	Medium	Large	Medium	Medium	Small	Medium	Medium	Large	Medium	Large	Small	Small	Medium	Medium	Medium	Small	Small	Small	Medium	Small	Small	Medium	Small	Small	Medium	Medium	Medium	Small	Large	Small	Large	Large	Small	Large	Medium	Large	Small	Large	Medium	Small	Medium	Small	Medium	Large	Small	Small	Small	Medium	Small	Small	Medium	Large	Large	Small	Medium	Medium	Medium	Small	Medium	Small	Medium	Small	Small	Large	Small	Large	Medium	Large	Large	Medium	Large	Medium	Medium	Small	Medium	Medium	Medium	Small	Medium	Small	Large	Medium	Medium	Small	Small	Medium	Small	Small	Small	Large	Medium	Small	Small	Medium	Small	Medium	Medium	Medium	Small	Small	Large	Medium	Medium	Small	Small	Small	Small	Large	Small	Small	Small	Medium	Medium	Medium	Small	Large	Medium	Large	Large	Medium	Medium	Medium	Small	Small	Small
anthrop	Small	Medium	Small	Medium	Large	Large	Small	Large	Large	Small	Large	Large	Small	Medium	Large	Large	Large	Large	Small	Large	Medium	Small	Medium	Small	Medium	Medium	Large	Medium	Medium	Medium	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Small	Large	Small	Medium	Large	Small	Large	Medium	Medium	Medium	Medium	Large	Medium	Medium	Small	Medium	Large	Large	Medium	Medium	Small	Small	Medium	Large	Large	Small	Small	Medium	Medium	Small	Small	Small	Small	Medium	Medium	Medium	Small	Medium	Large	Small	Medium	Large	Small	Large	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Large	Medium	Small	Medium	Large	Small	Medium	Large	Large	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Small	Small	Medium	Small	Medium	Small	Medium	Large	Large	Large	Large	Large	Small	Large	Medium	Large	Medium	Large	Small	Large	Medium	Medium	Large	Medium	Large	Medium	Medium	Small	Large	Large	Small	Large	Medium	Small	Medium	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Medium	Large	Medium	Large	Medium	Medium	Large	Large	Large	Large	Large	Large	Large	Medium	Small
anthrop	Medium	Large	Small	Medium	Large	Large	Medium	Large	Large	Small	Large	Large	Small	Medium	Large	Large	Medium	Medium	Medium	Medium	Large	Medium	Large	Medium	Medium	Small	Large	Medium	Medium	Medium	Medium	Large	Small	Small	Small	Large	Medium	Medium	Small	Large	Large	Medium	Medium	Small	Large	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Large	Large	Medium	Large	Medium	Medium	Small	Medium	Large	Large	Large	Large	Small	Medium	Large	Medium	Large	Medium	Small	Medium	Medium	Small	Small	Small	Small	Medium	Small	Large	Large	Medium	Large	Medium	Large	Large	Medium	Large	Small	Medium	Medium	Large	Small	Small	Medium	Medium	Medium	Large	Large	Medium	Small	Medium	Small	Small	Medium	Medium	Medium	Small	Medium	Large	Large	Medium	Large	Small	Large	Small	Medium	Medium	Small	Large	Small	Large	Medium	Large	Medium	Large	Small	Small	Large	Medium	Medium	Medium	Large	Small	Large	Medium	Medium	Small	Small	Large	Medium	Medium	Small	Medium	Medium	Small	Small	Medium	Small	Medium	Medium	Small	Large	Small	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Small	Small	Medium	Medium	Large	Medium	Large	Large	Medium	Large	Large	Large	Large	Medium	Medium	Small
anthrop	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Small	Large	Large	Small	Medium	Medium	Large	Large	Medium	Medium	Medium	Small	Small	Medium	Small	Small	Small	Medium	Small	Small	Medium	Small	Small	Small	Small	Small	Medium	Large	Large	Small	Large	Medium	Medium	Medium	Small	Medium	Small	Medium	Small	Small	Medium	Small	Medium	Small	Medium	Small	Medium	Large	Medium	Medium	Small	Medium	Medium	Medium	Medium	Large	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Small	Small	Small	Small	Small	Small	Medium	Small	Medium	Medium	Medium	Large	Small	Large	Medium	Medium	Medium	Large	Small	Small	Small	Small	Small	Large	Medium	Medium	Small	Medium	Small	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Medium	Small	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Medium	Small	Medium	Small	Medium	Medium	Small	Small	Medium	Medium	Medium	Medium	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Small	Small	Medium	Medium	Medium	Medium	Large	Large	Large	Medium	Medium	Small	Medium	Small	Small
anthrop	Medium	Medium	Medium	Large	Medium	Large	Medium	Large	Medium	Small	Large	Large	Small	Medium	Large	Large	Medium	Large	Medium	Medium	Medium	Medium	Medium	Small	Small	Small	Large	Medium	Small	Medium	Medium	Medium	Medium	Small	Small	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Small	Large	Medium	Medium	Small	Large	Small	Medium	Large	Medium	Large	Small	Medium	Small	Small	Medium	Large	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Small	Small	Small	Small	Medium	Medium	Small	Small	Medium	Small	Small	Medium	Small	Large	Large	Large	Medium	Large	Medium	Small	Medium	Medium	Medium	Large	Medium	Small	Small	Large	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Small	Small	Medium	Small	Large	Small	Medium	Large	Small	Large	Medium	Small	Small	Large	Medium	Large	Medium	Medium	Medium	Large	Small	Medium	Medium	Medium	Medium	Large	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Large	Small	Medium	Small	Medium	Small	Medium	Small	Medium	Large	Medium	Large	Medium	Medium	Medium	Small	Medium	Small
anthrop	Small	Large	Medium	Medium	Large	Large	Large	Large	Medium	Small	Medium	Large	Small	Medium	Large	Large	Medium	Large	Medium	Medium	Medium	Large	Medium	Small	Medium	Medium	Large	Medium	Medium	Large	Medium	Small	Small	Medium	Medium	Large	Large	Large	Medium	Large	Medium	Medium	Large	Small	Medium	Small	Medium	Small	Large	Medium	Small	Small	Medium	Medium	Large	Medium	Large	Medium	Medium	Small	Small	Medium	Large	Medium	Medium	Small	Medium	Medium	Large	Large	Medium	Medium	Medium	Medium	Small	Small	Medium	Small	Small	Small	Medium	Small	Medium	Large	Small	Medium	Medium	Small	Large	Medium	Large	Medium	Large	Small	Small	Medium	Small	Medium	Large	Medium	Medium	Small	Large	Large	Small	Medium	Medium	Large	Small	Small	Large	Large	Medium	Large	Medium	Medium	Small	Medium	Large	Small	Large	Small	Large	Large	Small	Large	Large	Medium	Small	Medium	Small	Large	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Large	Medium	Medium	Small	Large	Large	Medium	Small	Medium	Large	Medium	Small	Small	Large	Small	Large	Medium	Large	Medium	Large	Medium	Small	Medium	Small	Small	Medium	Medium	Large	Large	Large	Large	Large	Medium	Large	Medium	Large	Medium	Small	Small	Small
anthrop	Small	Medium	Medium	Medium	Medium	Large	Small	Medium	Small	Small	Large	Medium	Small	Small	Medium	Large	Medium	Medium	Medium	Medium	Small	Small	Medium	Small	Small	Small	Small	Medium	Medium	Small	Small	Medium	Small	Medium	Small	Medium	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Medium	Small	Large	Small	Medium	Medium	Small	Large	Medium	Medium	Medium	Large	Small	Small	Small	Small	Large	Medium	Large	Medium	Medium	Small	Medium	Small	Medium	Medium	Small	Small	Medium	Medium	Small	Small	Small	Small	Small	Small	Small	Small	Small	Medium	Large	Small	Medium	Small	Large	Medium	Large	Medium	Large	Large	Medium	Medium	Small	Small	Medium	Medium	Small	Medium	Large	Medium	Small	Medium	Medium	Medium	Medium	Small	Small	Medium	Small	Small	Medium	Medium	Small	Small	Medium	Small	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Small	Medium	Medium	Medium	Medium	Large	Medium	Large	Medium	Medium	Medium	Small	Small	Medium	Small	Medium	Medium	Medium	Small	Large	Medium	Medium	Large	Medium	Small	Large	Medium	Medium	Small	Large	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Small	Large	Medium	Medium	Large	Large	Large	Medium	Medium	Medium	Large	Small	Small
anthrop	Medium	Medium	Small	Medium	Large	Large	Medium	Large	Large	Small	Medium	Large	Small	Medium	Large	Large	Medium	Small	Small	Medium	Medium	Medium	Medium	Small	Small	Medium	Large	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Large	Medium	Medium	Small	Medium	Medium	Medium	Medium	Small	Medium	Small	Large	Small	Medium	Medium	Small	Large	Medium	Medium	Small	Large	Large	Medium	Medium	Small	Medium	Large	Medium	Medium	Large	Small	Small	Large	Medium	Medium	Medium	Small	Medium	Large	Small	Small	Medium	Small	Small	Medium	Small	Small	Medium	Large	Medium	Medium	Large	Small	Large	Large	Medium	Medium	Large	Small	Small	Large	Small	Medium	Large	Medium	Medium	Large	Medium	Medium	Small	Small	Medium	Large	Medium	Medium	Large	Small	Small	Large	Small	Large	Small	Small	Medium	Small	Large	Medium	Medium	Medium	Medium	Large	Large	Medium	Small	Medium	Medium	Large	Small	Large	Small	Medium	Medium	Medium	Small	Medium	Medium	Large	Large	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Small	Large	Medium	Medium	Small	Small
anthrop	Medium	Medium	Small	Large	Large	Medium	Medium	Large	Large	Small	Medium	Medium	Small	Small	Medium	Large	Small	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Large	Small	Small	Medium	Medium	Small	Small	Medium	Medium	Large	Large	Medium	Medium	Large	Medium	Medium	Medium	Small	Medium	Medium	Small	Small	Medium	Small	Small	Large	Medium	Medium	Large	Medium	Large	Large	Medium	Small	Medium	Medium	Medium	Large	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Small	Small	Small	Small	Medium	Small	Small	Medium	Medium	Small	Medium	Small	Large	Medium	Large	Medium	Large	Medium	Small	Medium	Medium	Small	Large	Large	Medium	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Medium	Large	Large	Large	Large	Small	Large	Large	Small	Small	Small	Large	Large	Large	Large	Medium	Large	Large	Small	Medium	Large	Medium	Large	Medium	Small	Medium	Large	Medium	Large	Medium	Small	Large	Large	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Large	Small	Large	Large	Medium	Large	Medium	Small	Medium	Large	Small	Large	Small	Large	Large	Medium	Small	Medium	Large	Large	Large	Medium	Large	Large	Medium	Small	Small
anthrop	Medium	Large	Small	Large	Large	Large	Large	Large	Medium	Medium	Large	Large	Medium	Large	Medium	Large	Large	Medium	Large	Medium	Medium	Large	Large	Small	Small	Medium	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Small	Large	Large	Medium	Large	Large	Large	Medium	Large	Medium	Medium	Large	Small	Large	Medium	Medium	Large	Large	Large	Large	Medium	Small	Large	Large	Large	Large	Large	Medium	Medium	Large	Large	Large	Medium	Medium	Medium	Large	Medium	Small	Medium	Small	Medium	Medium	Medium	Large	Medium	Medium	Large	Large	Large	Medium	Large	Medium	Large	Large	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Large	Large	Medium	Medium	Large	Small	Medium	Large	Small	Large	Large	Medium	Large	Large	Large	Large	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Large	Large	Medium	Medium	Medium	Small	Medium	Medium	Small	Large	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Large	Large	Medium	Medium	Large	Medium	Medium	Medium	Medium	Large	Large	Large	Medium	Large	Medium	Medium	Medium	Small
